club,elo,club_clean,snapshot_date
Man City,2012.69165039,man city,2021-09-01
Bayern,1992.09020996,bayern,2021-09-01
Liverpool,1947.64782715,liverpool,2021-09-01
Real Madrid,1941.68847656,real madrid,2021-09-01
Chelsea,1938.4901123,chelsea,2021-09-01
Man United,1932.66455078,man united,2021-09-01
Barcelona,1916.14477539,barcelona,2021-09-01
Inter,1906.73071289,inter,2021-09-01
Atletico,1898.23266602,atletico,2021-09-01
Paris SG,1889.40881348,paris sg,2021-09-01
Tottenham,1854.27062988,tottenham,2021-09-01
Sevilla,1850.68981934,sevilla,2021-09-01
Dortmund,1844.78210449,dortmund,2021-09-01
Atalanta,1834.9576416,atalanta,2021-09-01
Arsenal,1831.81542969,arsenal,2021-09-01
Juventus,1829.92297363,juventus,2021-09-01
West Ham,1828.10827637,west ham,2021-09-01
Ajax,1820.1932373,ajax,2021-09-01
Villarreal,1819.03417969,villarreal,2021-09-01
Milan,1814.10266113,milan,2021-09-01
Napoli,1811.83276367,napoli,2021-09-01
RB Leipzig,1805.97973633,rb leipzig,2021-09-01
Porto,1804.71252441,porto,2021-09-01
Leicester,1800.70446777,leicester,2021-09-01
Everton,1790.84277344,everton,2021-09-01
Wolfsburg,1785.54309082,wolfsburg,2021-09-01
Leeds,1773.81274414,leeds,2021-09-01
Salzburg,1769.11657715,salzburg,2021-09-01
Benfica,1767.49645996,benfica,2021-09-01
Sociedad,1764.52722168,sociedad,2021-09-01
Leverkusen,1758.30859375,leverkusen,2021-09-01
Roma,1758.09936523,roma,2021-09-01
Lazio,1746.71520996,lazio,2021-09-01
Aston Villa,1745.50476074,aston villa,2021-09-01
Frankfurt,1744.88256836,frankfurt,2021-09-01
Gladbach,1732.01574707,gladbach,2021-09-01
Betis,1729.70324707,betis,2021-09-01
Brighton,1728.14624023,brighton,2021-09-01
Sporting,1727.37231445,sporting,2021-09-01
Lille,1727.00830078,lille,2021-09-01
Wolves,1723.32141113,wolves,2021-09-01
Bilbao,1721.94262695,bilbao,2021-09-01
Lyon,1716.40917969,lyon,2021-09-01
Valencia,1715.89196777,valencia,2021-09-01
Celta,1707.31933594,celta,2021-09-01
Newcastle,1705.55249023,newcastle,2021-09-01
Sassuolo,1702.41882324,sassuolo,2021-09-01
Hoffenheim,1699.96313477,hoffenheim,2021-09-01
Southampton,1699.46166992,southampton,2021-09-01
Burnley,1699.07641602,burnley,2021-09-01
PSV,1697.90966797,psv,2021-09-01
Union Berlin,1697.07519531,union berlin,2021-09-01
Freiburg,1696.17529297,freiburg,2021-09-01
Crystal Palace,1692.80249023,crystal palace,2021-09-01
