club,elo,club_clean,snapshot_date
Liverpool,2010.3112793,liverpool,2025-09-01
Arsenal,1995.59558105,arsenal,2025-09-01
Paris SG,1979.03234863,paris sg,2025-09-01
Barcelona,1947.61572266,barcelona,2025-09-01
Real Madrid,1943.71557617,real madrid,2025-09-01
Man City,1938.97631836,man city,2025-09-01
Bayern,1929.61364746,bayern,2025-09-01
Inter,1922.74255371,inter,2025-09-01
Chelsea,1915.28540039,chelsea,2025-09-01
Newcastle,1861.95117188,newcastle,2025-09-01
Crystal Palace,1854.12866211,crystal palace,2025-09-01
Napoli,1846.17565918,napoli,2025-09-01
Aston Villa,1845.70544434,aston villa,2025-09-01
Atletico,1833.05187988,atletico,2025-09-01
Leverkusen,1832.09106445,leverkusen,2025-09-01
Atalanta,1830.04406738,atalanta,2025-09-01
Roma,1828.97351074,roma,2025-09-01
Brighton,1823.54284668,brighton,2025-09-01
Benfica,1820.73486328,benfica,2025-09-01
Dortmund,1819.77734375,dortmund,2025-09-01
Bournemouth,1818.21594238,bournemouth,2025-09-01
Juventus,1816.04064941,juventus,2025-09-01
Bilbao,1805.19494629,bilbao,2025-09-01
Everton,1804.04858398,everton,2025-09-01
Man United,1801.46630859,man united,2025-09-01
Brentford,1797.15966797,brentford,2025-09-01
Lille,1796.20996094,lille,2025-09-01
Forest,1794.91601562,forest,2025-09-01
Villarreal,1794.06420898,villarreal,2025-09-01
Tottenham,1793.89379883,tottenham,2025-09-01
Sporting,1793.08422852,sporting,2025-09-01
PSV,1785.68981934,psv,2025-09-01
Milan,1779.40600586,milan,2025-09-01
Fulham,1777.98095703,fulham,2025-09-01
Frankfurt,1763.71960449,frankfurt,2025-09-01
Lazio,1763.54992676,lazio,2025-09-01
Monaco,1761.88146973,monaco,2025-09-01
Lyon,1760.73498535,lyon,2025-09-01
Brugge,1754.203125,brugge,2025-09-01
Fiorentina,1754.09472656,fiorentina,2025-09-01
Bologna,1751.06591797,bologna,2025-09-01
Marseille,1742.69567871,marseille,2025-09-01
West Ham,1739.49951172,west ham,2025-09-01
Betis,1735.63452148,betis,2025-09-01
Feyenoord,1734.94006348,feyenoord,2025-09-01
St Gillis,1733.15893555,st gillis,2025-09-01
Leeds,1729.59655762,leeds,2025-09-01
Porto,1725.94921875,porto,2025-09-01
Burnley,1719.71582031,burnley,2025-09-01
Stuttgart,1716.10876465,stuttgart,2025-09-01
