club,elo,club_clean,snapshot_date
Bayern,2044.85327148,bayern,2020-09-01
Liverpool,1991.63098145,liverpool,2020-09-01
Man City,1967.77905273,man city,2020-09-01
Barcelona,1954.91345215,barcelona,2020-09-01
Paris SG,1926.95141602,paris sg,2020-09-01
Real Madrid,1919.92993164,real madrid,2020-09-01
Atletico,1890.39416504,atletico,2020-09-01
Sevilla,1862.48913574,sevilla,2020-09-01
Man United,1860.72937012,man united,2020-09-01
RB Leipzig,1849.34191895,rb leipzig,2020-09-01
Inter,1841.54016113,inter,2020-09-01
Dortmund,1840.02722168,dortmund,2020-09-01
Juventus,1837.94238281,juventus,2020-09-01
Atalanta,1825.86865234,atalanta,2020-09-01
Chelsea,1818.56286621,chelsea,2020-09-01
Tottenham,1807.71264648,tottenham,2020-09-01
Arsenal,1799.52392578,arsenal,2020-09-01
Leverkusen,1794.73596191,leverkusen,2020-09-01
Wolves,1778.44799805,wolves,2020-09-01
Villarreal,1773.21191406,villarreal,2020-09-01
Ajax,1771.40185547,ajax,2020-09-01
Salzburg,1767.00500488,salzburg,2020-09-01
Shakhtar,1765.83337402,shakhtar,2020-09-01
Gladbach,1765.77270508,gladbach,2020-09-01
Milan,1765.53979492,milan,2020-09-01
Napoli,1763.97192383,napoli,2020-09-01
Leicester,1757.98510742,leicester,2020-09-01
Roma,1747.38171387,roma,2020-09-01
Porto,1745.82849121,porto,2020-09-01
Sociedad,1742.09338379,sociedad,2020-09-01
Lyon,1740.1361084,lyon,2020-09-01
Olympiakos,1738.37231445,olympiakos,2020-09-01
Getafe,1737.69873047,getafe,2020-09-01
Valencia,1735.5534668,valencia,2020-09-01
Hoffenheim,1735.5526123,hoffenheim,2020-09-01
Lazio,1729.00915527,lazio,2020-09-01
Burnley,1722.70275879,burnley,2020-09-01
Bilbao,1722.37365723,bilbao,2020-09-01
Zenit,1721.25195312,zenit,2020-09-01
Southampton,1720.21118164,southampton,2020-09-01
Benfica,1717.37548828,benfica,2020-09-01
Granada,1716.37939453,granada,2020-09-01
Everton,1715.9395752,everton,2020-09-01
Wolfsburg,1713.19067383,wolfsburg,2020-09-01
Frankfurt,1705.23999023,frankfurt,2020-09-01
Marseille,1701.66992188,marseille,2020-09-01
Levante,1700.50048828,levante,2020-09-01
Osasuna,1697.59326172,osasuna,2020-09-01
Sheffield United,1693.6763916,sheffield united,2020-09-01
Eibar,1686.38745117,eibar,2020-09-01
Lille,1686.25598145,lille,2020-09-01
West Ham,1685.76428223,west ham,2020-09-01
Newcastle,1677.56347656,newcastle,2020-09-01
Crystal Palace,1673.68884277,crystal palace,2020-09-01
Rennes,1671.48840332,rennes,2020-09-01
Young Boys,1670.69848633,young boys,2020-09-01
Celta,1670.69262695,celta,2020-09-01
Brugge,1669.45349121,brugge,2020-09-01
Betis,1668.32995605,betis,2020-09-01
Freiburg,1666.2088623,freiburg,2020-09-01
