club,elo,club_clean,snapshot_date
Barcelona,2031.65710449,barcelona,2018-09-01
Real Madrid,2029.1796875,real madrid,2018-09-01
Man City,1973.53356934,man city,2018-09-01
Juventus,1964.05383301,juventus,2018-09-01
Bayern,1953.04101562,bayern,2018-09-01
Tottenham,1932.13452148,tottenham,2018-09-01
Atletico,1931.73498535,atletico,2018-09-01
Liverpool,1925.17114258,liverpool,2018-09-01
Paris SG,1894.09057617,paris sg,2018-09-01
Napoli,1865.90258789,napoli,2018-09-01
Man United,1856.07958984,man united,2018-09-01
Chelsea,1850.36499023,chelsea,2018-09-01
Roma,1837.06384277,roma,2018-09-01
Arsenal,1811.31616211,arsenal,2018-09-01
Valencia,1790.07312012,valencia,2018-09-01
Sevilla,1774.91796875,sevilla,2018-09-01
Monaco,1767.66125488,monaco,2018-09-01
Shakhtar,1763.42907715,shakhtar,2018-09-01
Marseille,1755.34130859,marseille,2018-09-01
Lyon,1754.83789062,lyon,2018-09-01
Benfica,1754.54467773,benfica,2018-09-01
Porto,1753.49890137,porto,2018-09-01
Dortmund,1750.68041992,dortmund,2018-09-01
Zenit,1750.00952148,zenit,2018-09-01
Lazio,1743.6262207,lazio,2018-09-01
Espanyol,1743.0546875,espanyol,2018-09-01
Villarreal,1741.29016113,villarreal,2018-09-01
Inter,1738.56066895,inter,2018-09-01
Sociedad,1735.97619629,sociedad,2018-09-01
Atalanta,1735.81530762,atalanta,2018-09-01
Schalke,1732.16711426,schalke,2018-09-01
Celta,1727.0123291,celta,2018-09-01
Milan,1726.86474609,milan,2018-09-01
Getafe,1723.94152832,getafe,2018-09-01
Salzburg,1722.64550781,salzburg,2018-09-01
Besiktas,1718.84899902,besiktas,2018-09-01
Ajax,1718.01928711,ajax,2018-09-01
Hoffenheim,1715.08764648,hoffenheim,2018-09-01
CSKA Moskva,1715.07568359,cska moskva,2018-09-01
Sporting,1713.70544434,sporting,2018-09-01
Eibar,1711.41638184,eibar,2018-09-01
Betis,1709.26257324,betis,2018-09-01
Dynamo Kyiv,1708.21240234,dynamo kyiv,2018-09-01
Leicester,1705.45605469,leicester,2018-09-01
Levante,1705.03674316,levante,2018-09-01
Alaves,1702.93212891,alaves,2018-09-01
Everton,1701.75463867,everton,2018-09-01
Leverkusen,1701.07678223,leverkusen,2018-09-01
Bilbao,1701.03479004,bilbao,2018-09-01
RB Leipzig,1692.55664062,rb leipzig,2018-09-01
Fiorentina,1691.23095703,fiorentina,2018-09-01
Spartak Moskva,1689.19592285,spartak moskva,2018-09-01
Crystal Palace,1687.42492676,crystal palace,2018-09-01
Bournemouth,1683.92297363,bournemouth,2018-09-01
PSV,1679.14538574,psv,2018-09-01
Gladbach,1676.9263916,gladbach,2018-09-01
Torino,1675.81970215,torino,2018-09-01
Girona,1670.00793457,girona,2018-09-01
Crvena Zvezda,1658.31762695,crvena zvezda,2018-09-01
FC Krasnodar,1657.67150879,fc krasnodar,2018-09-01
Stuttgart,1657.56311035,stuttgart,2018-09-01
Newcastle,1657.47814941,newcastle,2018-09-01
Werder,1656.92993164,werder,2018-09-01
Watford,1656.29248047,watford,2018-09-01
PAOK,1655.19616699,paok,2018-09-01
Young Boys,1653.18078613,young boys,2018-09-01
Lok Moskva,1653.09521484,lok moskva,2018-09-01
West Ham,1652.85656738,west ham,2018-09-01
Burnley,1651.97192383,burnley,2018-09-01
Galatasaray,1649.42700195,galatasaray,2018-09-01
Frankfurt,1645.54858398,frankfurt,2018-09-01
Rennes,1644.54992676,rennes,2018-09-01
Bordeaux,1643.7833252,bordeaux,2018-09-01
Bueyueksehir,1636.94775391,bueyueksehir,2018-09-01
Brugge,1636.13061523,brugge,2018-09-01
Olympiakos,1635.84289551,olympiakos,2018-09-01
Southampton,1635.48791504,southampton,2018-09-01
Genk,1634.83886719,genk,2018-09-01
Fenerbahce,1633.83068848,fenerbahce,2018-09-01
Saint-Etienne,1633.07043457,saint-etienne,2018-09-01
Brighton,1631.77893066,brighton,2018-09-01
Leganes,1631.76159668,leganes,2018-09-01
AEK,1628.98950195,aek,2018-09-01
Valladolid,1628.45397949,valladolid,2018-09-01
Fulham,1627.83398438,fulham,2018-09-01
Augsburg,1626.5567627,augsburg,2018-09-01
Rostov,1624.20959473,rostov,2018-09-01
Braga,1623.77453613,braga,2018-09-01
Nice,1623.36206055,nice,2018-09-01
Huesca,1622.32275391,huesca,2018-09-01
Hertha,1619.48352051,hertha,2018-09-01
Wolfsburg,1616.50024414,wolfsburg,2018-09-01
Mainz,1610.65246582,mainz,2018-09-01
APOEL,1607.27941895,apoel,2018-09-01
Depor,1606.67456055,depor,2018-09-01
Sassuolo,1606.00646973,sassuolo,2018-09-01
West Brom,1605.01794434,west brom,2018-09-01
Swansea,1603.21813965,swansea,2018-09-01
Dijon,1600.5526123,dijon,2018-09-01
Basel,1599.07397461,basel,2018-09-01
Rayo Vallecano,1598.50073242,rayo vallecano,2018-09-01
Montpellier,1596.6550293,montpellier,2018-09-01
Gijon,1596.35913086,gijon,2018-09-01
Malaga,1595.7043457,malaga,2018-09-01
Reims,1594.15917969,reims,2018-09-01
Sampdoria,1593.0357666,sampdoria,2018-09-01
Wolves,1592.3392334,wolves,2018-09-01
Anderlecht,1592.17614746,anderlecht,2018-09-01
Hannover,1588.83703613,hannover,2018-09-01
Empoli,1587.99523926,empoli,2018-09-01
Zaragoza,1587.93603516,zaragoza,2018-09-01
Viktoria Plzen,1587.36157227,viktoria plzen,2018-09-01
Stoke,1585.40710449,stoke,2018-09-01
Middlesbrough,1582.80371094,middlesbrough,2018-09-01
Rubin Kazan,1582.35180664,rubin kazan,2018-09-01
Gent,1579.03894043,gent,2018-09-01
Standard,1578.11071777,standard,2018-09-01
Cadiz,1576.16931152,cadiz,2018-09-01
Dinamo Zagreb,1573.62878418,dinamo zagreb,2018-09-01
Lille,1572.97192383,lille,2018-09-01
Hamburg,1570.73291016,hamburg,2018-09-01
Cardiff,1569.52514648,cardiff,2018-09-01
Spal,1568.78149414,spal,2018-09-01
Genoa,1568.65222168,genoa,2018-09-01
Rapid Wien,1568.5222168,rapid wien,2018-09-01
Freiburg,1567.65991211,freiburg,2018-09-01
Aston Villa,1567.18603516,aston villa,2018-09-01
Nantes,1564.7364502,nantes,2018-09-01
Nimes,1564.71838379,nimes,2018-09-01
Koeln,1563.38317871,koeln,2018-09-01
Udinese,1561.65600586,udinese,2018-09-01
FC Kobenhavn,1560.08972168,fc kobenhavn,2018-09-01
Dynamo Moskva,1560.06213379,dynamo moskva,2018-09-01
Tenerife,1557.97741699,tenerife,2018-09-01
Terek Grozny,1557.93554688,terek grozny,2018-09-01
Toulouse,1557.40722656,toulouse,2018-09-01
Oviedo,1556.4407959,oviedo,2018-09-01
Steaua,1554.94848633,steaua,2018-09-01
Huddersfield,1554.47644043,huddersfield,2018-09-01
Osasuna,1554.03479004,osasuna,2018-09-01
Celtic,1551.22839355,celtic,2018-09-01
Slavia Praha,1550.63061523,slavia praha,2018-09-01
Chievo,1547.52331543,chievo,2018-09-01
Guingamp,1547.26062012,guingamp,2018-09-01
